second,Input,Output
0.01052,6.05000019,1.1875
0.01054,6.17500019,1.1875
0.01056,6.23750019,1.15625
0.01058,6.42500019,1.09375
0.0106,6.55000019,1.09375
0.01062,6.55000019,1.0625
0.01064,6.73750019,1.03125
0.01066,6.80000019,1
0.01068,6.98750019,1
0.0107,7.05000019,0.96875
0.01072,7.11250019,0.9375
0.01074,7.30000019,0.9375
0.01076,7.42500019,0.9375
0.01078,7.42500019,0.90625
0.0108,7.55000019,0.875
0.01082,7.61250019,0.875
0.01084,7.73750019,0.875
0.01086,7.73750019,0.84375
0.01088,7.92500019,0.8125
0.0109,7.98750019,0.8125
0.01092,8.11250019,0.78125
0.01094,8.11250019,0.78125
0.01096,8.11250019,0.75
0.01098,8.23750019,0.75
0.011,8.30000019,0.71875
0.01102,8.30000019,0.75
0.01104,8.30000019,0.75
0.01106,8.36250019,0.75
0.01108,8.36250019,0.75
0.0111,8.48750019,0.71875
0.01112,8.42500019,0.6875
0.01114,8.55000019,0.71875
0.01116,8.55000019,0.71875
0.01118,8.48750019,0.6875
0.0112,8.55000019,0.71875
0.01122,8.48750019,0.71875
0.01124,8.48750019,0.71875
0.01126,8.55000019,0.75
0.01128,8.42500019,0.71875
0.0113,8.42500019,0.75
0.01132,8.42500019,0.71875
0.01134,8.36250019,0.75
0.01136,8.30000019,0.78125
0.01138,8.36250019,0.78125
0.0114,8.17500019,0.78125
0.01142,8.17500019,0.8125
0.01144,8.17500019,0.84375
0.01146,8.05000019,0.84375
0.01148,8.05000019,0.84375
0.0115,7.92500019,0.84375
0.01152,7.86250019,0.875
0.01154,7.73750019,0.90625
0.01156,7.73750019,0.9375
0.01158,7.61250019,0.9375
0.0116,7.55000019,0.96875
0.01162,7.48750019,1
0.01164,7.30000019,1
0.01166,7.36250019,1.03125
0.01168,7.17500019,1.0625
0.0117,7.05000019,1.0625
0.01172,6.86250019,1.09375
0.01174,6.92500019,1.125
0.01176,6.73750019,1.15625
0.01178,6.61250019,1.1875
0.0118,6.42500019,1.1875
0.01182,6.30000019,1.21875
0.01184,6.23750019,1.25
0.01186,6.11250019,1.28125
0.01188,5.98750019,1.3125
0.0119,5.86250019,1.3125
0.01192,5.73750019,1.34375
0.01194,5.48750019,1.375
0.01196,5.48750019,1.40625
0.01198,5.36250019,1.40625
0.012,5.23750019,1.46875
0.01202,5.17500019,1.46875
0.01204,4.92500019,1.46875
0.01206,4.86250019,1.53125
0.01208,4.80000019,1.5625
0.0121,4.55000019,1.59375
0.01212,4.48750019,1.65625
0.01214,4.30000019,1.625
0.01216,4.17500019,1.6875
0.01218,3.98750019,1.6875
0.0122,3.92500019,1.6875
0.01222,3.73750019,1.71875
0.01224,3.67500019,1.75
0.01226,3.61250019,1.78125
0.01228,3.42500019,1.8125
0.0123,3.30000019,1.8125
0.01232,3.23750019,1.84375
0.01234,3.11250019,1.875
0.01236,2.98750019,1.84375
0.01238,2.86250019,1.9375
0.0124,2.80000019,1.90625
0.01242,2.73750019,1.9375
0.01244,2.61250019,1.9375
0.01246,2.55000019,1.96875
0.01248,2.42500019,1.96875
0.0125,2.30000019,2
0.01252,2.23750019,2.0625
0.01254,2.23750019,2.03125
0.01256,2.11250019,2.0625
0.01258,2.05000019,2.0625
0.0126,1.92500019,2.0625
0.01262,1.92500019,2.125
0.01264,1.86250019,2.09375
0.01266,1.80000019,2.09375
0.01268,1.67500019,2.0625
0.0127,1.67500019,2.125
0.01272,1.67500019,2.15625
0.01274,1.67500019,2.125
0.01276,1.61250019,2.15625
0.01278,1.55000019,2.125
0.0128,1.55000019,2.125
0.01282,1.55000019,2.15625
0.01284,1.61250019,2.15625
0.01286,1.55000019,2.15625
0.01288,1.48750019,2.15625
0.0129,1.55000019,2.125
0.01292,1.55000019,2.125
0.01294,1.61250019,2.125
0.01296,1.55000019,2.125
0.01298,1.61250019,2.09375
0.013,1.67500019,2.09375
0.01302,1.67500019,2.09375
0.01304,1.73750019,2.125
0.01306,1.80000019,2.09375
0.01308,1.86250019,2.0625
0.0131,1.86250019,2.0625
0.01312,1.92500019,2.03125
0.01314,1.98750019,2
0.01316,2.05000019,2
0.01318,2.11250019,1.96875
0.0132,2.17500019,1.96875
0.01322,2.30000019,1.9375
0.01324,2.36250019,1.9375
