second,input,output,,
0.2905,2.51E+00,1.34E-01,,
0.291,2.33E+00,1.34E-01,,
0.2915,2.26E+00,1.34E-01,,
0.292,2.14E+00,1.34E-01,,
0.2925,2.08E+00,1.34E-01,,
0.293,1.95E+00,1.34E-01,,
0.2935,1.83E+00,1.34E-01,,
0.294,1.76E+00,1.34E-01,,
0.2945,1.64E+00,1.34E-01,,
0.295,1.64E+00,1.34E-01,,
0.2955,1.58E+00,1.34E-01,,
0.296,1.39E+00,1.34E-01,,
0.2965,1.45E+00,1.34E-01,,
0.297,1.39E+00,1.34E-01,,
0.2975,1.33E+00,1.34E-01,,
0.298,1.26E+00,1.34E-01,,
0.2985,1.26E+00,1.34E-01,,
0.299,1.33E+00,1.34E-01,,
0.2995,1.33E+00,1.34E-01,,
0.3,1.20E+00,1.34E-01,,
0.3005,1.26E+00,1.34E-01,,
0.301,1.26E+00,1.34E-01,,
0.3015,1.33E+00,1.34E-01,,
0.302,1.45E+00,1.34E-01,,
0.3025,1.39E+00,1.34E-01,,
0.303,1.51E+00,1.34E-01,,
0.3035,1.58E+00,1.34E-01,,
0.304,1.58E+00,1.34E-01,,
0.3045,1.70E+00,1.34E-01,,
0.305,1.83E+00,1.34E-01,,
0.3055,1.89E+00,1.34E-01,,
0.306,2.01E+00,1.34E-01,,
0.3065,2.01E+00,1.34E-01,,
0.307,2.14E+00,1.34E-01,,
0.3075,2.26E+00,1.34E-01,,
0.308,2.39E+00,1.34E-01,,
0.3085,2.58E+00,1.34E-01,,
0.309,2.58E+00,1.34E-01,,
0.3095,2.76E+00,1.34E-01,,
0.31,2.95E+00,1.34E-01,,
0.3105,3.14E+00,1.34E-01,,
0.311,3.26E+00,1.34E-01,,
0.3115,3.45E+00,1.34E-01,,
0.312,3.58E+00,1.34E-01,,
0.3125,3.76E+00,1.34E-01,,
0.313,3.95E+00,1.34E-01,,
0.3135,4.01E+00,1.34E-01,,
0.314,4.33E+00,1.34E-01,,
0.3145,4.39E+00,1.34E-01,,
0.315,4.64E+00,1.34E-01,,
0.3155,4.83E+00,1.34E-01,,
0.316,4.95E+00,1.34E-01,,
0.3165,5.14E+00,1.34E-01,,
0.317,5.33E+00,1.34E-01,,
0.3175,5.51E+00,1.34E-01,,
0.318,5.58E+00,1.34E-01,,
0.3185,5.76E+00,1.34E-01,,
0.319,5.95E+00,1.34E-01,,
0.3195,6.14E+00,1.34E-01,,
0.32,6.33E+00,1.34E-01,,
0.3205,6.45E+00,1.34E-01,,
0.321,6.64E+00,1.34E-01,,
0.3215,6.89E+00,1.34E-01,,
0.322,6.95E+00,1.34E-01,,
0.3225,7.08E+00,1.34E-01,,
0.323,7.26E+00,1.34E-01,,
0.3235,7.39E+00,1.34E-01,,
0.324,7.45E+00,1.34E-01,,
0.3245,7.64E+00,1.34E-01,,
0.325,7.76E+00,1.34E-01,,
0.3255,7.83E+00,1.34E-01,,
0.326,7.89E+00,1.34E-01,,
0.3265,8.08E+00,1.34E-01,,
0.327,8.14E+00,1.34E-01,,
0.3275,8.26E+00,1.34E-01,,
0.328,8.26E+00,1.34E-01,,
0.3285,8.33E+00,1.34E-01,,
0.329,8.45E+00,1.34E-01,,
0.3295,8.58E+00,1.34E-01,,
0.33,8.58E+00,1.34E-01,,
0.3305,8.58E+00,1.34E-01,,
0.331,8.58E+00,1.34E-01,,
0.3315,8.70E+00,1.34E-01,,
0.332,8.70E+00,1.34E-01,,
0.3325,8.70E+00,1.34E-01,,
0.333,8.64E+00,1.34E-01,,
0.3335,8.70E+00,1.34E-01,,
0.334,8.64E+00,1.34E-01,,
0.3345,8.64E+00,1.34E-01,,
0.335,8.64E+00,1.34E-01,,
0.3355,8.58E+00,1.34E-01,,
0.336,8.51E+00,1.34E-01,,
0.3365,8.45E+00,1.34E-01,,
0.337,8.39E+00,1.34E-01,,
0.3375,8.33E+00,1.34E-01,,
0.338,8.26E+00,1.34E-01,,
0.3385,8.20E+00,1.34E-01,,
0.339,8.08E+00,1.34E-01,,
0.3395,8.01E+00,1.34E-01,,
