in s,C1 in V
-2.47404E-04,-2.56348E-01
-2.47400E-04,-2.53887E-01
-2.47396E-04,-2.54707E-01
-2.47392E-04,-2.57988E-01
-2.47388E-04,-2.57988E-01
-2.47384E-04,-2.59629E-01
-2.47380E-04,-2.60449E-01
-2.47376E-04,-2.60449E-01
-2.47372E-04,-2.62910E-01
-2.47368E-04,-2.61270E-01
-2.47364E-04,-2.62910E-01
-2.47360E-04,-2.63730E-01
-2.47356E-04,-2.67832E-01
-2.47352E-04,-2.66191E-01
-2.47348E-04,-2.68652E-01
-2.47344E-04,-2.70293E-01
-2.47340E-04,-2.68652E-01
-2.47336E-04,-2.71113E-01
-2.47332E-04,-2.71113E-01
-2.47328E-04,-2.71113E-01
-2.47324E-04,-2.75215E-01
-2.47320E-04,-2.76035E-01
-2.47316E-04,-2.76035E-01
-2.47312E-04,-2.76855E-01
-2.47308E-04,-2.75215E-01
-2.47304E-04,-2.80137E-01
-2.47300E-04,-2.78496E-01
-2.47296E-04,-2.80957E-01
-2.47292E-04,-2.83418E-01
-2.47288E-04,-2.81777E-01
-2.47284E-04,-2.82598E-01
-2.47280E-04,-2.84238E-01
-2.47276E-04,-2.85059E-01
-2.47272E-04,-2.84238E-01
-2.47268E-04,-2.88340E-01
-2.47264E-04,-2.89160E-01
-2.47260E-04,-2.87520E-01
-2.47256E-04,-2.89160E-01
-2.47252E-04,-2.91621E-01
-2.47248E-04,-2.91621E-01
-2.47244E-04,-2.94902E-01
-2.47240E-04,-2.91621E-01
-2.47236E-04,-2.94082E-01
-2.47232E-04,-2.96543E-01
-2.47228E-04,-2.96543E-01
-2.47224E-04,-2.96543E-01
-2.47220E-04,-2.98184E-01
-2.47216E-04,-2.95723E-01
-2.47212E-04,-2.98184E-01
-2.47208E-04,-2.98184E-01
-2.47204E-04,-2.99004E-01
-2.47200E-04,-3.00645E-01
-2.47196E-04,-3.01465E-01
-2.47192E-04,-3.03105E-01
-2.47188E-04,-3.03926E-01
-2.47184E-04,-3.04746E-01
-2.47180E-04,-3.06387E-01
-2.47176E-04,-3.07207E-01
-2.47172E-04,-3.06387E-01
-2.47168E-04,-3.07207E-01
-2.47164E-04,-3.09668E-01
-2.47160E-04,-3.09668E-01
-2.47156E-04,-3.08848E-01
-2.47152E-04,-3.09668E-01
-2.47148E-04,-3.10488E-01
-2.47144E-04,-3.08848E-01
-2.47140E-04,-3.10488E-01
-2.47136E-04,-3.12129E-01
-2.47132E-04,-3.12949E-01
-2.47128E-04,-3.15410E-01
-2.47124E-04,-3.14590E-01
-2.47120E-04,-3.13770E-01
-2.47116E-04,-3.15410E-01
-2.47112E-04,-3.16230E-01
-2.47108E-04,-3.18691E-01
-2.47104E-04,-3.16230E-01
-2.47100E-04,-3.16230E-01
-2.47096E-04,-3.18691E-01
-2.47092E-04,-3.19512E-01
-2.47088E-04,-3.19512E-01
-2.47084E-04,-3.21152E-01
-2.47080E-04,-3.19512E-01
-2.47076E-04,-3.18691E-01
-2.47072E-04,-3.20332E-01
-2.47068E-04,-3.22793E-01
-2.47064E-04,-3.21973E-01
-2.47060E-04,-3.21973E-01
-2.47056E-04,-3.20332E-01
-2.47052E-04,-3.21973E-01
-2.47048E-04,-3.22793E-01
-2.47044E-04,-3.22793E-01
-2.47040E-04,-3.24434E-01
-2.47036E-04,-3.23613E-01
-2.47032E-04,-3.26074E-01
-2.47028E-04,-3.26895E-01
-2.47024E-04,-3.22793E-01
-2.47020E-04,-3.27715E-01
-2.47016E-04,-3.25254E-01
-2.47012E-04,-3.28535E-01
-2.47008E-04,-3.29355E-01
-2.47004E-04,-3.27715E-01
-2.47000E-04,-3.27715E-01
-2.46996E-04,-3.27715E-01
-2.46992E-04,-3.27715E-01
-2.46988E-04,-3.32637E-01
-2.46984E-04,-3.29355E-01
-2.46980E-04,-3.30176E-01
-2.46976E-04,-3.28535E-01
-2.46972E-04,-3.27715E-01
-2.46968E-04,-3.30996E-01
-2.46964E-04,-3.33457E-01
-2.46960E-04,-3.30176E-01
-2.46956E-04,-3.31816E-01
-2.46952E-04,-3.32637E-01
-2.46948E-04,-3.30176E-01
-2.46944E-04,-3.33457E-01
-2.46940E-04,-3.32637E-01
-2.46936E-04,-3.33457E-01
-2.46932E-04,-3.33457E-01
-2.46928E-04,-3.30996E-01
-2.46924E-04,-3.33457E-01
-2.46920E-04,-3.31816E-01
-2.46916E-04,-3.31816E-01
-2.46912E-04,-3.34277E-01
-2.46908E-04,-3.34277E-01
-2.46904E-04,-3.33457E-01
-2.46900E-04,-3.36738E-01
-2.46896E-04,-3.35098E-01
-2.46892E-04,-3.33457E-01
-2.46888E-04,-3.35098E-01
-2.46884E-04,-3.33457E-01
-2.46880E-04,-3.32637E-01
-2.46876E-04,-3.34277E-01
-2.46872E-04,-3.35098E-01
-2.46868E-04,-3.33457E-01
-2.46864E-04,-3.35098E-01
-2.46860E-04,-3.35098E-01
-2.46856E-04,-3.33457E-01
-2.46852E-04,-3.33457E-01
-2.46848E-04,-3.38379E-01
-2.46844E-04,-3.38379E-01
-2.46840E-04,-3.35918E-01
-2.46836E-04,-3.36738E-01
-2.46832E-04,-3.34277E-01
